race,county,families_below_the_living_wage,number_of_families,living_wage,percent_of_families_below_the_living_wage
AIAN,Alameda,158.5,285.0,24.74,55.61
AIAN,Butte,56.0,91.5,20.88,61.2
AIAN,Contra Costa,23.0,125.5,24.74,18.33
AIAN,Del Norte,0.0,22.0,20.71,0.0
AIAN,El Dorado,3.5,66.0,22.26,5.3
AIAN,Fresno,98.0,187.5,20.79,52.27
AIAN,Glenn,23.0,35.0,20.1,65.71
AIAN,Humboldt,148.5,318.5,21.26,46.62
AIAN,Imperial,69.5,92.0,20.83,75.54
AIAN,Inyo,37.5,72.5,20.43,51.72
AIAN,Kern,106.0,238.5,20.49,44.44
AIAN,Kings,32.5,59.5,20.43,54.62
AIAN,Lake,33.0,72.0,21.12,45.83
AIAN,Lassen,34.5,34.5,20.99,100.0
AIAN,Los Angeles,286.0,651.0,25.05,43.93
AIAN,Madera,41.0,87.0,20.94,47.13
AIAN,Mendocino,146.5,165.0,21.74,88.79
AIAN,Merced,20.0,29.5,20.49,67.8
AIAN,Monterey,14.5,37.0,22.86,39.19
AIAN,Nevada,24.5,24.5,22.83,100.0
AIAN,Orange,132.0,333.5,26.33,39.58
AIAN,Placer,14.5,151.0,22.26,9.6
AIAN,Riverside,155.5,565.0,22.76,27.52
AIAN,Sacramento,272.5,499.5,22.26,54.55
AIAN,San Bernardino,201.0,415.5,22.76,48.38
AIAN,San Diego,282.5,601.5,24.34,46.97
AIAN,San Francisco,100.0,144.0,27.55,69.44
AIAN,San Joaquin,41.5,90.0,21.58,46.11
AIAN,San Luis Obispo,20.0,97.0,23.14,20.62
AIAN,San Mateo,44.0,107.5,27.55,40.93
AIAN,Santa Barbara,55.5,108.0,23.87,51.39
AIAN,Santa Clara,82.0,243.5,25.18,33.68
AIAN,Shasta,79.0,135.0,20.7,58.52
AIAN,Siskiyou,28.0,45.0,20.27,62.22
AIAN,Solano,76.0,190.0,23.51,40.0
AIAN,Sonoma,54.0,198.5,24.22,27.2
AIAN,Stanislaus,41.0,82.5,21.46,49.7
AIAN,Sutter,10.0,52.5,20.23,19.05
AIAN,Tehama,10.0,24.5,20.34,40.82
AIAN,Tulare,94.5,138.5,19.56,68.23
AIAN,Tuolumne,0.0,2.5,21.66,0.0
AIAN,Ventura,9.5,82.5,25.49,11.52
AIAN,Yolo,31.0,59.5,22.35,52.1
AIAN,Yuba,33.5,69.0,20.23,48.55
AfricanAm,Alameda,5924.5,9367.5,24.74,63.25
AfricanAm,Amador,0.0,0.0,22.44,
AfricanAm,Butte,108.0,139.5,20.88,77.42
AfricanAm,Contra Costa,2634.0,5390.5,24.74,48.86
AfricanAm,Del Norte,0.0,0.0,20.71,
AfricanAm,Fresno,1620.5,2512.0,20.79,64.51
AfricanAm,Humboldt,23.5,41.0,21.26,57.32
AfricanAm,Imperial,5.0,55.5,20.83,9.01
AfricanAm,Kern,1272.0,2191.5,20.49,58.04
AfricanAm,Kings,85.5,539.5,20.43,15.85
AfricanAm,Lake,31.0,65.5,21.12,47.33
AfricanAm,Lassen,0.0,2.0,20.99,0.0
AfricanAm,Los Angeles,23308.0,40429.5,25.05,57.65
AfricanAm,Madera,67.5,136.5,20.94,49.45
AfricanAm,Marin,168.0,266.5,27.55,63.04
AfricanAm,Merced,235.5,482.0,20.49,48.86
AfricanAm,Monterey,177.0,374.0,22.86,47.33
AfricanAm,Napa,51.0,136.5,24.54,37.36
AfricanAm,Orange,832.0,2296.0,26.33,36.24
AfricanAm,Placer,98.0,325.0,22.26,30.15
AfricanAm,Riverside,2933.0,7046.5,22.76,41.62
AfricanAm,Sacramento,4890.5,8394.5,22.26,58.26
AfricanAm,San Bernardino,5015.0,10227.0,22.76,49.04
AfricanAm,San Diego,4055.5,7750.0,24.34,52.33
AfricanAm,San Francisco,1175.0,1610.0,27.55,72.98
AfricanAm,San Joaquin,1471.0,2846.0,21.58,51.69
AfricanAm,San Luis Obispo,5.5,94.5,23.14,5.82
AfricanAm,San Mateo,394.0,753.0,27.55,52.32
AfricanAm,Santa Barbara,127.5,332.0,23.87,38.4
AfricanAm,Santa Clara,893.5,2175.5,25.18,41.07
AfricanAm,Santa Cruz,43.0,109.5,26.78,39.27
AfricanAm,Shasta,60.5,88.0,20.7,68.75
AfricanAm,Solano,1559.0,3091.0,23.51,50.44
AfricanAm,Sonoma,93.0,226.0,24.22,41.15
AfricanAm,Stanislaus,437.0,840.5,21.46,51.99
AfricanAm,Sutter,7.0,67.5,20.23,10.37
AfricanAm,Tulare,171.0,354.5,19.56,48.24
AfricanAm,Tuolumne,0.5,3.0,21.66,16.67
AfricanAm,Ventura,229.5,820.0,25.49,27.99
AfricanAm,Yolo,76.0,183.5,22.35,41.42
AfricanAm,Yuba,27.5,73.5,20.23,37.41
Asian,Alameda,4315.5,23294.5,24.74,18.53
Asian,Butte,250.5,483.5,20.88,51.81
Asian,Contra Costa,1324.0,9079.5,24.74,14.58
